Province,scenario,statistic,overlap_n,rx1day_history_mean,rx1day_external_mean,additive_bias
内蒙古,ssp119,median,9,10.682553121888889,25.22888888888889,-14.546335766999997
内蒙古,ssp119,p10,9,10.682553121888889,15.746666666666666,-5.064113544777778
内蒙古,ssp119,p90,9,10.682553121888889,39.95333333333333,-29.270780211444446
内蒙古,ssp126,median,9,10.682553121888889,25.55333333333333,-14.870780211444444
内蒙古,ssp126,p10,9,10.682553121888889,16.13,-5.447446878111111
内蒙古,ssp126,p90,9,10.682553121888889,40.266666666666666,-29.58411354477778
内蒙古,ssp245,median,9,10.682553121888889,24.954444444444444,-14.271891322555556
内蒙古,ssp245,p10,9,10.682553121888889,15.76222222222222,-5.079669100333333
内蒙古,ssp245,p90,9,10.682553121888889,39.47555555555555,-28.79300243366667
内蒙古,ssp370,median,9,10.682553121888889,25.415555555555557,-14.733002433666668
内蒙古,ssp370,p10,9,10.682553121888889,15.215555555555556,-4.533002433666667
内蒙古,ssp370,p90,9,10.682553121888889,41.70666666666667,-31.024113544777776
内蒙古,ssp585,median,9,10.682553121888889,26.32888888888889,-15.646335767000002
内蒙古,ssp585,p10,9,10.682553121888889,16.37777777777778,-5.695224655888889
内蒙古,ssp585,p90,9,10.682553121888889,41.196666666666665,-30.51411354477778
北京,ssp119,median,9,75.47652234888889,51.121111111111105,24.35541123777778
北京,ssp119,p10,9,75.47652234888889,31.047777777777778,44.42874457111111
北京,ssp119,p90,9,75.47652234888889,83.93222222222222,-8.455699873333336
北京,ssp126,median,9,75.47652234888889,51.876666666666665,23.599855682222223
北京,ssp126,p10,9,75.47652234888889,32.60111111111111,42.87541123777778
北京,ssp126,p90,9,75.47652234888889,90.28,-14.803477651111113
北京,ssp245,median,9,75.47652234888889,49.38333333333333,26.093189015555556
北京,ssp245,p10,9,75.47652234888889,31.483333333333334,43.99318901555555
北京,ssp245,p90,9,75.47652234888889,83.22333333333333,-7.746810984444441
北京,ssp370,median,9,75.47652234888889,52.580000000000005,22.89652234888889
北京,ssp370,p10,9,75.47652234888889,29.529999999999998,45.94652234888889
北京,ssp370,p90,9,75.47652234888889,87.72333333333333,-12.246810984444444
北京,ssp585,median,9,75.47652234888889,54.056666666666665,21.419855682222227
北京,ssp585,p10,9,75.47652234888889,32.172222222222224,43.30430012666667
北京,ssp585,p90,9,75.47652234888889,81.58222222222223,-6.105699873333332
吉林,ssp119,median,9,35.06657724777777,40.73,-5.663422752222222
吉林,ssp119,p10,9,35.06657724777777,27.305555555555557,7.761021692222223
吉林,ssp119,p90,9,35.06657724777777,61.15555555555555,-26.088978307777776
吉林,ssp126,median,9,35.06657724777777,41.52,-6.453422752222221
吉林,ssp126,p10,9,35.06657724777777,28.290000000000003,6.776577247777778
吉林,ssp126,p90,9,35.06657724777777,62.25,-27.183422752222224
吉林,ssp245,median,9,35.06657724777777,41.24111111111111,-6.174533863333332
吉林,ssp245,p10,9,35.06657724777777,28.114444444444445,6.952132803333335
吉林,ssp245,p90,9,35.06657724777777,60.74666666666667,-25.68008941888889
吉林,ssp370,median,9,35.06657724777777,40.224444444444444,-5.1578671966666665
吉林,ssp370,p10,9,35.06657724777777,25.993333333333332,9.073243914444445
吉林,ssp370,p90,9,35.06657724777777,63.20777777777778,-28.14120053
吉林,ssp585,median,9,35.06657724777777,42.037777777777784,-6.971200530000001
吉林,ssp585,p10,9,35.06657724777777,27.790000000000003,7.276577247777778
吉林,ssp585,p90,9,35.06657724777777,62.45666666666667,-27.390089418888888
四川,ssp119,median,9,20.36301071777778,33.69111111111111,-13.328100393333335
四川,ssp119,p10,9,20.36301071777778,23.99111111111111,-3.628100393333333
四川,ssp119,p90,9,20.36301071777778,47.77,-27.406989282222224
四川,ssp126,median,9,20.36301071777778,33.99333333333333,-13.630322615555555
四川,ssp126,p10,9,20.36301071777778,24.33888888888889,-3.9758781711111117
四川,ssp126,p90,9,20.36301071777778,48.708888888888886,-28.34587817111111
四川,ssp245,median,9,20.36301071777778,33.882222222222225,-13.519211504444444
四川,ssp245,p10,9,20.36301071777778,24.804444444444442,-4.4414337266666655
四川,ssp245,p90,9,20.36301071777778,47.47222222222222,-27.109211504444445
四川,ssp370,median,9,20.36301071777778,34.21111111111111,-13.848100393333333
四川,ssp370,p10,9,20.36301071777778,23.502222222222223,-3.139211504444445
四川,ssp370,p90,9,20.36301071777778,49.69777777777777,-29.334767059999997
四川,ssp585,median,9,20.36301071777778,34.44555555555556,-14.082544837777778
四川,ssp585,p10,9,20.36301071777778,24.38,-4.016989282222222
四川,ssp585,p90,9,20.36301071777778,48.15111111111111,-27.788100393333334
天津,ssp119,median,9,73.60385309888889,52.98888888888889,20.614964209999997
天津,ssp119,p10,9,73.60385309888889,32.803333333333335,40.800519765555556
天津,ssp119,p90,9,73.60385309888889,83.99,-10.386146901111111
天津,ssp126,median,9,73.60385309888889,54.83222222222222,18.771630876666663
天津,ssp126,p10,9,73.60385309888889,33.404444444444444,40.19940865444445
天津,ssp126,p90,9,73.60385309888889,90.82444444444444,-17.220591345555558
天津,ssp245,median,9,73.60385309888889,51.86333333333333,21.740519765555558
