Province,scenario,statistic,overlap_n,history_value_mean,external_value_mean,additive_bias
安徽,ssp119,p90,9,16.727921915555555,17.51,-0.7820780844444444
安徽,ssp126,median,9,16.727921915555555,16.763333333333335,-0.035411417777777864
安徽,ssp126,p10,9,16.727921915555555,15.915555555555557,0.81236636
安徽,ssp126,p90,9,16.727921915555555,17.61,-0.8820780844444447
安徽,ssp245,median,9,16.727921915555555,16.703333333333333,0.024588582222222044
安徽,ssp245,p10,9,16.727921915555555,15.962222222222222,0.7656996933333333
安徽,ssp245,p90,9,16.727921915555555,17.506666666666668,-0.778744751111111
安徽,ssp370,median,9,16.727921915555555,16.564444444444444,0.16347747111111133
安徽,ssp370,p10,9,16.727921915555555,15.67,1.0579219155555557
安徽,ssp370,p90,9,16.727921915555555,17.444444444444443,-0.7165225288888892
安徽,ssp585,median,9,16.727921915555555,16.80333333333333,-0.0754114177777778
安徽,ssp585,p10,9,16.727921915555555,15.97777777777778,0.7501441377777778
安徽,ssp585,p90,9,16.727921915555555,17.697777777777777,-0.9698558622222223
山东,ssp119,median,9,14.329260622222222,14.275555555555554,0.05370506666666684
山东,ssp119,p10,9,14.329260622222222,13.394444444444444,0.9348161777777774
山东,ssp119,p90,9,14.329260622222222,15.08,-0.7507393777777778
山东,ssp126,median,9,14.329260622222222,14.401111111111113,-0.0718504888888894
山东,ssp126,p10,9,14.329260622222222,13.503333333333334,0.8259272888888886
山东,ssp126,p90,9,14.329260622222222,15.153333333333332,-0.8240727111111114
山东,ssp245,median,9,14.329260622222222,14.28111111111111,0.048149511111111015
山东,ssp245,p10,9,14.329260622222222,13.495555555555555,0.8337050666666665
山东,ssp245,p90,9,14.329260622222222,15.134444444444446,-0.8051838222222225
山东,ssp370,median,9,14.329260622222222,14.172222222222222,0.15703839999999955
山东,ssp370,p10,9,14.329260622222222,13.137777777777778,1.191482844444444
山东,ssp370,p90,9,14.329260622222222,15.026666666666667,-0.6974060444444444
山东,ssp585,median,9,14.329260622222222,14.402222222222223,-0.07296160000000008
山东,ssp585,p10,9,14.329260622222222,13.503333333333334,0.8259272888888886
山东,ssp585,p90,9,14.329260622222222,15.232222222222223,-0.9029616000000004
山西,ssp119,median,9,9.484074761222223,9.752222222222223,-0.26814746099999986
山西,ssp119,p10,9,9.484074761222223,8.898888888888889,0.5851858723333334
山西,ssp119,p90,9,9.484074761222223,10.622222222222222,-1.138147461
山西,ssp126,median,9,9.484074761222223,9.83222222222222,-0.34814746099999994
山西,ssp126,p10,9,9.484074761222223,8.992222222222223,0.4918525389999999
山西,ssp126,p90,9,9.484074761222223,10.665555555555555,-1.181480794333333
山西,ssp245,median,9,9.484074761222223,9.802222222222222,-0.31814746099999996
山西,ssp245,p10,9,9.484074761222223,9.026666666666666,0.4574080945555558
