Province,Year,scenario,statistic,rx1day,additive_bias,overlap_n,rx1day_aligned
四川,2042,ssp119,p90,45.96,-27.406989282222224,9,18.553010717777777
四川,2043,ssp119,p90,47.1,-27.406989282222224,9,19.693010717777778
四川,2044,ssp119,p90,46.19,-27.406989282222224,9,18.783010717777774
四川,2045,ssp119,p90,45.59,-27.406989282222224,9,18.18301071777778
四川,2046,ssp119,p90,46.15,-27.406989282222224,9,18.743010717777775
四川,2047,ssp119,p90,46.86,-27.406989282222224,9,19.453010717777776
四川,2048,ssp119,p90,45.81,-27.406989282222224,9,18.40301071777778
四川,2049,ssp119,p90,46.11,-27.406989282222224,9,18.703010717777776
四川,2050,ssp119,p90,46.64,-27.406989282222224,9,19.233010717777777
天津,2024,ssp119,p90,76.68,-10.386146901111111,9,66.29385309888889
天津,2025,ssp119,p90,81.34,-10.386146901111111,9,70.95385309888889
天津,2026,ssp119,p90,77.71,-10.386146901111111,9,67.32385309888889
天津,2027,ssp119,p90,84.34,-10.386146901111111,9,73.95385309888889
天津,2028,ssp119,p90,76.32,-10.386146901111111,9,65.93385309888887
天津,2029,ssp119,p90,85.79,-10.386146901111111,9,75.4038530988889
天津,2030,ssp119,p90,83.74,-10.386146901111111,9,73.35385309888889
天津,2031,ssp119,p90,79.56,-10.386146901111111,9,69.17385309888888
天津,2032,ssp119,p90,76.66,-10.386146901111111,9,66.27385309888888
天津,2033,ssp119,p90,79.19,-10.386146901111111,9,68.80385309888888
天津,2034,ssp119,p90,75.4,-10.386146901111111,9,65.01385309888889
天津,2035,ssp119,p90,81.3,-10.386146901111111,9,70.9138530988889
天津,2036,ssp119,p90,76.88,-10.386146901111111,9,66.49385309888888
天津,2037,ssp119,p90,78.68,-10.386146901111111,9,68.29385309888889
天津,2038,ssp119,p90,79.89,-10.386146901111111,9,69.5038530988889
天津,2039,ssp119,p90,78.93,-10.386146901111111,9,68.54385309888889
天津,2040,ssp119,p90,80.24,-10.386146901111111,9,69.85385309888889
天津,2041,ssp119,p90,77.1,-10.386146901111111,9,66.71385309888888
天津,2042,ssp119,p90,80.95,-10.386146901111111,9,70.5638530988889
天津,2043,ssp119,p90,73.23,-10.386146901111111,9,62.84385309888889
天津,2044,ssp119,p90,79.47,-10.386146901111111,9,69.08385309888888
天津,2045,ssp119,p90,77.35,-10.386146901111111,9,66.96385309888888
天津,2046,ssp119,p90,77.65,-10.386146901111111,9,67.26385309888889
天津,2047,ssp119,p90,73.73,-10.386146901111111,9,63.34385309888889
天津,2048,ssp119,p90,71.58,-10.386146901111111,9,61.19385309888889
天津,2049,ssp119,p90,75.73,-10.386146901111111,9,65.3438530988889
天津,2050,ssp119,p90,76.06,-10.386146901111111,9,65.67385309888888
新疆,2024,ssp119,p90,15.88,-12.50277846288889,9,3.3772215371111116
新疆,2025,ssp119,p90,16.24,-12.50277846288889,9,3.7372215371111093
新疆,2026,ssp119,p90,16.24,-12.50277846288889,9,3.7372215371111093
新疆,2027,ssp119,p90,16.01,-12.50277846288889,9,3.5072215371111124
新疆,2028,ssp119,p90,16.39,-12.50277846288889,9,3.8872215371111114
新疆,2029,ssp119,p90,16.12,-12.50277846288889,9,3.617221537111112
新疆,2030,ssp119,p90,16.26,-12.50277846288889,9,3.7572215371111124
新疆,2031,ssp119,p90,15.9,-12.50277846288889,9,3.397221537111111
新疆,2032,ssp119,p90,16.06,-12.50277846288889,9,3.5572215371111096
新疆,2033,ssp119,p90,16.07,-12.50277846288889,9,3.567221537111111
新疆,2034,ssp119,p90,15.9,-12.50277846288889,9,3.397221537111111
新疆,2035,ssp119,p90,15.73,-12.50277846288889,9,3.2272215371111113
新疆,2036,ssp119,p90,16.05,-12.50277846288889,9,3.5472215371111115
新疆,2037,ssp119,p90,16.15,-12.50277846288889,9,3.6472215371111094
新疆,2038,ssp119,p90,16.11,-12.50277846288889,9,3.6072215371111103
新疆,2039,ssp119,p90,15.98,-12.50277846288889,9,3.4772215371111113
新疆,2040,ssp119,p90,15.93,-12.50277846288889,9,3.4272215371111105
新疆,2041,ssp119,p90,15.86,-12.50277846288889,9,3.3572215371111103
新疆,2042,ssp119,p90,15.75,-12.50277846288889,9,3.247221537111111
新疆,2043,ssp119,p90,15.76,-12.50277846288889,9,3.2572215371111106
新疆,2044,ssp119,p90,15.92,-12.50277846288889,9,3.4172215371111108
新疆,2045,ssp119,p90,15.53,-12.50277846288889,9,3.02722153711111
新疆,2046,ssp119,p90,15.82,-12.50277846288889,9,3.317221537111111
新疆,2047,ssp119,p90,15.85,-12.50277846288889,9,3.3472215371111105
