province,province_code,year,time_key,scenario,statistic,tas,source_file,data_stage,Province
Anhui Sheng,CHN.147295898,1966,1966-07,historical,p90,16.33,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1967,1967-07,historical,p90,16.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1968,1968-07,historical,p90,16.23,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1969,1969-07,historical,p90,16.12,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1970,1970-07,historical,p90,16.15,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1971,1971-07,historical,p90,16.02,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1972,1972-07,historical,p90,16.26,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1973,1973-07,historical,p90,16.27,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1974,1974-07,historical,p90,16.37,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1975,1975-07,historical,p90,16.17,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1976,1976-07,historical,p90,16.05,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1977,1977-07,historical,p90,16.17,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1978,1978-07,historical,p90,16.24,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1979,1979-07,historical,p90,16.14,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1980,1980-07,historical,p90,16.22,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1981,1981-07,historical,p90,16.05,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1982,1982-07,historical,p90,16.3,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1983,1983-07,historical,p90,15.83,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1984,1984-07,historical,p90,15.91,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1985,1985-07,historical,p90,16.12,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1986,1986-07,historical,p90,16.29,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1987,1987-07,historical,p90,16.4,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1988,1988-07,historical,p90,16.35,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1989,1989-07,historical,p90,16.28,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1990,1990-07,historical,p90,16.45,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1991,1991-07,historical,p90,16.44,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1992,1992-07,historical,p90,16.1,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1993,1993-07,historical,p90,16.14,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1994,1994-07,historical,p90,16.35,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1995,1995-07,historical,p90,16.37,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1996,1996-07,historical,p90,16.58,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1997,1997-07,historical,p90,16.55,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1998,1998-07,historical,p90,16.62,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,1999,1999-07,historical,p90,16.61,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2000,2000-07,historical,p90,16.85,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2001,2001-07,historical,p90,16.81,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2002,2002-07,historical,p90,16.79,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2003,2003-07,historical,p90,16.74,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
Anhui Sheng,CHN.147295898,2004,2004-07,historical,p90,17.11,tas_timeseries_CHNprov_1950-2014_median_p10_p90_historical.json,historical,安徽
