Province,province,province_code,scenario,statistic,future_reference_n,future_tas_sum,hist_reference_n,hist_tas_sum,reference_n,tas_ref_1991_2020,reference_period,reference_method,reference_hist_years,reference_future_years
安徽,Anhui Sheng,CHN.147295898,ssp119,p10,6,94.87,24,369.94,30,15.493666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp119,p90,6,104.63,24,401.83,30,16.881999999999998,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp126,median,6,99.93,24,386.71,30,16.221333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp126,p10,6,95.37,24,369.94,30,15.510333333333334,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp126,p90,6,105.37,24,401.83,30,16.906666666666666,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp245,median,6,100.01,24,386.71,30,16.224,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp245,p10,6,95.58,24,369.94,30,15.517333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp245,p90,6,104.58,24,401.83,30,16.880333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp370,median,6,99.07,24,386.71,30,16.192666666666664,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp370,p10,6,93.45,24,369.94,30,15.446333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp370,p90,6,103.88,24,401.83,30,16.857,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp585,median,6,100.18,24,386.71,30,16.229666666666667,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp585,p10,6,95.4,24,369.94,30,15.511333333333335,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
安徽,Anhui Sheng,CHN.147295898,ssp585,p90,6,105.72,24,401.83,30,16.918333333333333,1991-2020,cmip6_same_stat_same_scenario_mean_1991_2020,1991-2014,2015-2020
