Province,Year,scenario,statistic,省平均气温,additive_bias,overlap_n,省平均气温_aligned
浙江,2050,ssp119,p90,19.3,-1.491634821111112,9,17.808365178888888
浙江,2024,ssp126,median,18.25,-0.8094125988888893,9,17.44058740111111
浙江,2025,ssp126,median,18.15,-0.8094125988888893,9,17.340587401111108
浙江,2026,ssp126,median,18.13,-0.8094125988888893,9,17.32058740111111
浙江,2027,ssp126,median,18.11,-0.8094125988888893,9,17.30058740111111
浙江,2028,ssp126,median,18.27,-0.8094125988888893,9,17.46058740111111
浙江,2029,ssp126,median,18.12,-0.8094125988888893,9,17.31058740111111
浙江,2030,ssp126,median,18.26,-0.8094125988888893,9,17.45058740111111
浙江,2031,ssp126,median,18.1,-0.8094125988888893,9,17.29058740111111
浙江,2032,ssp126,median,18.5,-0.8094125988888893,9,17.69058740111111
浙江,2033,ssp126,median,18.45,-0.8094125988888893,9,17.64058740111111
浙江,2034,ssp126,median,18.3,-0.8094125988888893,9,17.49058740111111
浙江,2035,ssp126,median,18.38,-0.8094125988888893,9,17.57058740111111
浙江,2036,ssp126,median,18.59,-0.8094125988888893,9,17.78058740111111
浙江,2037,ssp126,median,18.51,-0.8094125988888893,9,17.70058740111111
浙江,2038,ssp126,median,18.63,-0.8094125988888893,9,17.82058740111111
浙江,2039,ssp126,median,18.49,-0.8094125988888893,9,17.680587401111108
浙江,2040,ssp126,median,18.42,-0.8094125988888893,9,17.61058740111111
浙江,2041,ssp126,median,18.5,-0.8094125988888893,9,17.69058740111111
浙江,2042,ssp126,median,18.87,-0.8094125988888893,9,18.06058740111111
浙江,2043,ssp126,median,18.64,-0.8094125988888893,9,17.83058740111111
浙江,2044,ssp126,median,18.49,-0.8094125988888893,9,17.680587401111108
浙江,2045,ssp126,median,18.55,-0.8094125988888893,9,17.74058740111111
浙江,2046,ssp126,median,18.77,-0.8094125988888893,9,17.96058740111111
浙江,2047,ssp126,median,18.59,-0.8094125988888893,9,17.78058740111111
浙江,2048,ssp126,median,18.8,-0.8094125988888893,9,17.99058740111111
浙江,2049,ssp126,median,18.81,-0.8094125988888893,9,18.000587401111108
浙江,2050,ssp126,median,18.62,-0.8094125988888893,9,17.81058740111111
浙江,2024,ssp126,p10,17.54,0.011698512222222254,9,17.55169851222222
浙江,2025,ssp126,p10,17.25,0.011698512222222254,9,17.26169851222222
浙江,2026,ssp126,p10,17.4,0.011698512222222254,9,17.41169851222222
浙江,2027,ssp126,p10,17.25,0.011698512222222254,9,17.26169851222222
浙江,2028,ssp126,p10,17.54,0.011698512222222254,9,17.55169851222222
浙江,2029,ssp126,p10,17.39,0.011698512222222254,9,17.40169851222222
浙江,2030,ssp126,p10,17.13,0.011698512222222254,9,17.14169851222222
浙江,2031,ssp126,p10,17.51,0.011698512222222254,9,17.521698512222223
浙江,2032,ssp126,p10,17.62,0.011698512222222254,9,17.631698512222222
浙江,2033,ssp126,p10,17.5,0.011698512222222254,9,17.51169851222222
浙江,2034,ssp126,p10,17.63,0.011698512222222254,9,17.64169851222222
浙江,2035,ssp126,p10,17.75,0.011698512222222254,9,17.76169851222222
浙江,2036,ssp126,p10,17.79,0.011698512222222254,9,17.80169851222222
浙江,2037,ssp126,p10,17.84,0.011698512222222254,9,17.85169851222222
浙江,2038,ssp126,p10,17.6,0.011698512222222254,9,17.611698512222222
浙江,2039,ssp126,p10,17.36,0.011698512222222254,9,17.37169851222222
浙江,2040,ssp126,p10,17.82,0.011698512222222254,9,17.83169851222222
浙江,2041,ssp126,p10,17.71,0.011698512222222254,9,17.721698512222222
浙江,2042,ssp126,p10,17.68,0.011698512222222254,9,17.69169851222222
浙江,2043,ssp126,p10,17.81,0.011698512222222254,9,17.82169851222222
浙江,2044,ssp126,p10,17.83,0.011698512222222254,9,17.84169851222222
浙江,2045,ssp126,p10,18.06,0.011698512222222254,9,18.07169851222222
浙江,2046,ssp126,p10,17.89,0.011698512222222254,9,17.90169851222222
浙江,2047,ssp126,p10,17.8,0.011698512222222254,9,17.811698512222222
浙江,2048,ssp126,p10,17.76,0.011698512222222254,9,17.771698512222223
浙江,2049,ssp126,p10,18.05,0.011698512222222254,9,18.061698512222222
浙江,2050,ssp126,p10,17.79,0.011698512222222254,9,17.80169851222222
浙江,2024,ssp126,p90,18.82,-1.5994125988888888,9,17.22058740111111
浙江,2025,ssp126,p90,18.63,-1.5994125988888888,9,17.03058740111111
浙江,2026,ssp126,p90,18.86,-1.5994125988888888,9,17.26058740111111
浙江,2027,ssp126,p90,19.04,-1.5994125988888888,9,17.44058740111111
浙江,2028,ssp126,p90,18.77,-1.5994125988888888,9,17.17058740111111
浙江,2029,ssp126,p90,19.0,-1.5994125988888888,9,17.40058740111111
浙江,2030,ssp126,p90,19.28,-1.5994125988888888,9,17.68058740111111
浙江,2031,ssp126,p90,19.08,-1.5994125988888888,9,17.48058740111111
浙江,2032,ssp126,p90,19.41,-1.5994125988888888,9,17.81058740111111
浙江,2033,ssp126,p90,19.32,-1.5994125988888888,9,17.72058740111111
浙江,2034,ssp126,p90,19.34,-1.5994125988888888,9,17.74058740111111
浙江,2035,ssp126,p90,19.5,-1.5994125988888888,9,17.90058740111111
浙江,2036,ssp126,p90,19.41,-1.5994125988888888,9,17.81058740111111
浙江,2037,ssp126,p90,19.43,-1.5994125988888888,9,17.83058740111111
浙江,2038,ssp126,p90,19.47,-1.5994125988888888,9,17.87058740111111
浙江,2039,ssp126,p90,19.54,-1.5994125988888888,9,17.94058740111111
浙江,2040,ssp126,p90,19.48,-1.5994125988888888,9,17.88058740111111
浙江,2041,ssp126,p90,19.53,-1.5994125988888888,9,17.93058740111111
浙江,2042,ssp126,p90,19.55,-1.5994125988888888,9,17.95058740111111
