scheme,fe_spec,predictor,coef,p_value,ci_low,ci_high
方案C_污染替代组,NoYes_YearFE,"牲畜饲养
-猪年底头数",0.15345761231806174,0.08296247037403548,-0.020148522484504994,0.32706374712062847
方案C_污染替代组,YesNo_EntityFE,省平均气温,0.7008139388728922,0.15139880684949847,-0.25823877986030785,1.6598666576060923
方案C_污染替代组,YesNo_EntityFE,R1xday,0.008515509696639294,0.5086860566343412,-0.016819212363089635,0.033850231756368226
方案C_污染替代组,YesNo_EntityFE,氮氧化物,0.23435860784106113,1.5193362405296895e-05,0.1296507369521554,0.33906647872996687
方案C_污染替代组,YesNo_EntityFE,抗菌药物使用强度,-0.012531586241638049,0.44320834675431087,-0.044660904573728274,0.01959773209045218
方案C_污染替代组,YesNo_EntityFE,可支配收入,-0.28757622835877716,6.965204790709834e-08,-0.3896472925699107,-0.18550516414764362
方案C_污染替代组,YesNo_EntityFE,建成区绿化覆盖率,-0.0677766597301739,0.14286214153929122,-0.1585828872584901,0.023029567798142303
方案C_污染替代组,YesNo_EntityFE,人均日生活用水量(升),-0.03119017133357129,0.47263506115536247,-0.1165734333791158,0.05419309071197321
方案C_污染替代组,YesNo_EntityFE,"牲畜饲养
-猪年底头数",0.10858174589044446,0.09136485224779678,-0.017593269067563935,0.23475676084845287
方案C_污染替代组,YesYes_TwoWayFE,省平均气温,0.5506552661208137,0.44172860324995744,-0.856724427910726,1.9580349601523535
方案C_污染替代组,YesYes_TwoWayFE,R1xday,-0.0036629465727787847,0.8331591567270551,-0.03786957345829554,0.03054368031273797
方案C_污染替代组,YesYes_TwoWayFE,氮氧化物,0.041228352502693605,0.3811720769509601,-0.05131864917352412,0.13377535417891134
方案C_污染替代组,YesYes_TwoWayFE,抗菌药物使用强度,0.0088852758885283,0.5236719241966408,-0.018514678172375877,0.03628522994943248
方案C_污染替代组,YesYes_TwoWayFE,可支配收入,0.07936347510181867,0.41646662516040367,-0.11265697501572801,0.27138392521936533
方案C_污染替代组,YesYes_TwoWayFE,建成区绿化覆盖率,0.09886277151324296,0.10741406875835535,-0.02164104251618658,0.21936658554267252
方案C_污染替代组,YesYes_TwoWayFE,人均日生活用水量(升),0.012798051104570036,0.7990912427219727,-0.08611463198095665,0.11171073419009672
方案C_污染替代组,YesYes_TwoWayFE,"牲畜饲养
-猪年底头数",-0.0849020369832674,0.3762996118449151,-0.27354439663119196,0.10374032266465716
