AMR,Predictor,Coef,CI_lo,CI_hi,p,N,R2_within
PA（%）,医疗水平,0.8676618357338233,-8.505532476052663,10.24085614752031,0.8562172459433244,239,0.7124128706278432
PA（%）,GDP,1.2856532607006221,-2.720663682708734,5.291970204109978,0.5301079844313166,239,0.7124128706278432
PA（%）,城市用水普及率,0.22137584445688663,-1.9560260220369101,2.3987777109506836,0.8422592489307617,239,0.7124128706278432
PA（%）,生活垃圾无害化处理率,0.5586674838231125,-1.683364154799441,2.800699122445666,0.6258272937422094,239,0.7124128706278432
PA（%）,抗菌药物使用强度,-0.3997339856010397,-1.3998322149644222,0.600364243762343,0.43435156935298,239,0.7124128706278432
R5xday,省平均气温,-30.542313601025047,-128.61918614653288,67.53455894448278,0.5423364475458032,239,0.577170495722833
R5xday,省平均降水,-11.353610167311261,-33.4917797500293,10.78455941540678,0.3160637537370812,239,0.577170495722833
R5xday,R1xday,39.96587509263775,31.703171711123627,48.228578474151874,0.0,239,0.577170495722833
R5xday,PM2.5,2.03179579587949,-6.773322724324683,10.836914316083664,0.6515800490543806,239,0.577170495722833
R5xday,医疗水平,11.195375669539427,-9.321782986736903,31.712534325815756,0.2861837974982979,239,0.577170495722833
R5xday,GDP,7.313546468645524,-22.0620132807646,36.68910621805565,0.6261211510341771,239,0.577170495722833
R5xday,城市用水普及率,-1.54614470306069,-11.837581178272012,8.745291772150631,0.7687208745697856,239,0.577170495722833
R5xday,生活垃圾无害化处理率,-0.0986262260100546,-5.221615360993274,5.024362908973165,0.9699393078781868,239,0.577170495722833
R5xday,抗菌药物使用强度,1.6212462419087617,-2.1550149312212215,5.397507415038745,0.40112132913126297,239,0.577170495722833
二氧化硫,省平均气温,13.907771022202846,-33.75647827316359,61.572020317569276,0.5680545441799856,239,0.42969617897042
二氧化硫,省平均降水,-4.618324436619402,-13.86522509207797,4.628576218839167,0.3288481793142819,239,0.42969617897042
二氧化硫,R1xday,0.1542767732323157,-1.7042352893251844,2.012788835789816,0.8709237865170465,239,0.42969617897042
二氧化硫,PM2.5,12.555573886196559,6.615302643289963,18.495845129103152,5.13038068890026e-05,239,0.42969617897042
二氧化硫,医疗水平,0.671485591548312,-10.998219511285239,12.341190694381861,0.9103220293513361,239,0.42969617897042
二氧化硫,GDP,-8.393852491387928,-18.327378046889848,1.539673064113991,0.09930529441610703,239,0.42969617897042
二氧化硫,城市用水普及率,-3.8969478893322895,-10.010485747698212,2.216589969033632,0.21304599729224827,239,0.42969617897042
二氧化硫,生活垃圾无害化处理率,0.9442229157698978,-2.995024202497624,4.88347003403742,0.6390249163986739,239,0.42969617897042
二氧化硫,抗菌药物使用强度,-0.697957478757578,-2.7370728706919962,1.3411579131768405,0.5031006283944375,239,0.42969617897042
